,date,start_time,visiting_team, visitor_score,home_team,home_score,attendance,arena
26,"Fri, Oct 27, 2023",10:00p,Golden State Warriors,122,Sacramento Kings,114,"18,250",Golden 1 Center
27,"Sat, Oct 28, 2023",7:00p,Chicago Bulls,102,Detroit Pistons,118,"20,062",Little Caesars Arena
28,"Sat, Oct 28, 2023",7:00p,Memphis Grizzlies,106,Washington Wizards,113,"16,191",Capital One Arena
29,"Sat, Oct 28, 2023",7:00p,New York Knicks,87,New Orleans Pelicans,96,"16,331",Smoothie King Center
30,"Sat, Oct 28, 2023",7:30p,Indiana Pacers,125,Cleveland Cavaliers,113,"19,432",Rocket Mortgage Fieldhouse
31,"Sat, Oct 28, 2023",7:30p,Philadelphia 76ers,114,Toronto Raptors,107,"19,800",Scotiabank Arena
32,"Sat, Oct 28, 2023",8:00p,Miami Heat,90,Minnesota Timberwolves,106,"18,024",Target Center
33,"Sat, Oct 28, 2023",10:00p,Utah Jazz,104,Phoenix Suns,126,"17,071",Footprint Center
34,"Sun, Oct 29, 2023",3:30p,Denver Nuggets,128,Oklahoma City Thunder,95,"18,203",Paycom Center
35,"Sun, Oct 29, 2023",7:00p,Golden State Warriors,106,Houston Rockets,95,"18,055",Toyota Center
36,"Sun, Oct 29, 2023",7:00p,Atlanta Hawks,127,Milwaukee Bucks,110,"17,341",Fiserv Forum
37,"Sun, Oct 29, 2023",7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126,"19,768",Wells Fargo Center
38,"Sun, Oct 29, 2023",9:00p,San Antonio Spurs,83,Los Angeles Clippers,123,"19,370",Crypto.com Arena
39,"Sun, Oct 29, 2023",9:00p,Los Angeles Lakers,127,Sacramento Kings,132,"18,198",Golden 1 Center
40,"Mon, Oct 30, 2023",7:00p,Chicago Bulls,112,Indiana Pacers,105,"15,021",Gainbridge Fieldhouse
41,"Mon, Oct 30, 2023",7:00p,Boston Celtics,126,Washington Wizards,107,"17,898",Capital One Arena
42,"Mon, Oct 30, 2023",7:00p,Brooklyn Nets,133,Charlotte Hornets,121,"14,491",Spectrum Center
43,"Mon, Oct 30, 2023",7:30p,Portland Trail Blazers,99,Toronto Raptors,91,"19,266",Scotiabank Arena
44,"Mon, Oct 30, 2023",7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127,"15,504",State Farm Arena
45,"Mon, Oct 30, 2023",8:00p,Dallas Mavericks,125,Memphis Grizzlies,110,"15,031",FedEx Forum
46,"Mon, Oct 30, 2023",8:00p,Miami Heat,114,Milwaukee Bucks,122,"17,341",Fiserv Forum
47,"Mon, Oct 30, 2023",8:00p,Golden State Warriors,130,New Orleans Pelicans,102,"17,286",Smoothie King Center
48,"Mon, Oct 30, 2023",8:00p,Detroit Pistons,112,Oklahoma City Thunder,124,"16,127",Paycom Center
49,"Mon, Oct 30, 2023",9:00p,Utah Jazz,102,Denver Nuggets,110,"19,671",Ball Arena
50,"Mon, Oct 30, 2023",10:30p,Orlando Magic,103,Los Angeles Lakers,106,"18,997",Crypto.com Arena
51,"Tue, Oct 31, 2023",7:30p,New York Knicks,109,Cleveland Cavaliers,91,"19,432",Rocket Mortgage Fieldhouse
52,"Tue, Oct 31, 2023",10:00p,San Antonio Spurs,115,Phoenix Suns,114,"17,071",Footprint Center
53,"Tue, Oct 31, 2023",10:30p,Orlando Magic,102,Los Angeles Clippers,118,"14,014",Crypto.com Arena
